Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2015-04-06,28.317363739013672,28.35294192475229,27.645841599579253,27.67697166386991,148776000
2015-04-07,28.019407272338867,28.48858235108615,28.012736785865233,28.3818511745851,140049200
2015-04-08,27.92823600769043,28.106123541988197,27.788150719542283,27.983825650100826,149316800
2015-04-09,28.141691207885742,28.146139327902286,27.71921141519314,27.983816876512904,129936000
2015-04-10,28.26177406311035,28.28623364166175,27.85263510636203,28.006061366912018,160752000
2015-04-13,28.206180572509766,28.588639230734085,28.152814997705434,28.544164808218575,145460400
2015-04-14,28.083881378173828,28.304015835014305,27.99716169225301,28.239531661503285,102098400
2015-04-15,28.190616607666016,28.268441760625606,28.01940127115491,28.108345030163488,115881600
2015-04-16,28.05497932434082,28.261772854593556,28.041638353505544,28.079438901846288,113476000
2015-04-17,27.739227294921875,28.048305523453024,27.674743116071788,27.917114801850463,207828000
2015-04-20,28.372943878173828,28.488569550172205,27.832612662600337,27.921556400693312,188217200
2015-04-21,28.219526290893555,28.50636734678086,28.16615901385577,28.484133526040274,129740400
2015-04-22,28.599754333496094,28.65534396850471,28.088330709293473,28.23731052396591,150618000
2015-04-23,28.83322525024414,28.99999411924272,28.493017028920743,28.528595201941556,183083600
2015-04-24,28.9688720703125,29.046698921184287,28.73539491061941,29.015568859420025,178103600
2015-04-27,29.4958553314209,29.602589860344253,29.162317562609108,29.420254251458086,387816800
2015-04-28,29.031126022338867,29.9161119268668,28.810993272703,29.89832623214437,475696000
2015-04-29,28.604206085205078,29.26016318298656,28.52860498629819,28.942192058978048,253544400
2015-04-30,27.828174591064453,28.60420550349986,27.701430277592415,28.60420550349986,332781600
2015-05-01,28.673139572143555,28.93552447330607,27.86153207382484,28.039417928383685,234050400
2015-05-04,28.617544174194336,29.033356962148268,28.519705871146353,28.795431689470476,203953200
2015-05-05,27.972707748413086,28.561956579916988,27.968259627159547,28.49524833280351,197085600
2015-05-06,27.797046661376953,28.18395011696757,27.430154663757296,28.141701443747092,288564000
2015-05-07,27.968971252441406,28.15206679371887,27.692093738472852,27.859559234892988,175763600
2015-05-08,28.49593162536621,28.49593162536621,28.158767256911965,28.286040975612977,222201600
2015-05-11,28.20566177368164,28.48253764789053,28.051592936345216,28.444579202141632,168143200
2015-05-12,28.105182647705078,28.33070167104977,27.870730221341702,28.044894102161358,192640000
2015-05-13,28.136445999145508,28.399925201611197,28.10518589915362,28.167706099137398,138776800
2015-05-14,28.792903900146484,28.792903900146484,28.39322103167603,28.449042870725208,180814000
2015-05-15,28.752708435058594,28.913475574026457,28.62766808410448,28.819695310810875,152832000
2015-05-18,29.06977081298828,29.18811279590865,28.661154691792255,28.66562139126852,203531600
2015-05-19,29.042987823486328,29.223850035423112,28.946972489400906,29.181424892950112,178532800
2015-05-20,29.040754318237305,29.246178286398866,28.879987141920466,29.027357621393374,145819600
2015-05-21,29.337722778320312,29.391312965217566,28.989395081224014,29.04298526812127,158921600
2015-05-22,29.594501495361328,29.690516819846707,29.339954073068743,29.384614265161087,182384000
2015-05-26,28.9425106048584,29.677128031092586,28.83086690907407,29.607909484841535,282790400
2015-05-27,29.48286247253418,29.53198596589671,29.03852279224789,29.103274629628586,183332800
2015-05-28,29.424800872802734,29.462759305920756,29.272967140330646,29.442664266110135,122933200
2015-05-29,29.089876174926758,29.351121969971384,29.005025890228723,29.301998479577218,203538000
2015-06-01,29.147932052612305,29.337727681720942,29.038523420832306,29.089878562424854,128451200
2015-06-02,29.0184268951416,29.17472736620968,28.87552312058011,28.99609679623413,134670400
2015-06-03,29.054149627685547,29.237246894728884,29.00502613687366,29.174726707712786,123934000
2015-06-04,28.88444709777832,29.156857893637614,28.783968487819013,28.933570579464032,153800400
2015-06-05,28.725921630859375,28.95814242661696,28.661169786272197,28.915717276982676,142507200
2015-06-08,28.53612518310547,28.850961177235256,28.319536172144808,28.78173923393358,210699200
2015-06-09,28.451278686523438,28.598649180909273,28.04936240860745,28.29051149393801,224301600
2015-06-10,28.777278900146484,28.87998918795648,28.54729146556497,28.562921514172693,156349200
2015-06-11,28.71251678466797,29.067542819658165,28.68795504222306,28.844255490920546,141563600
2015-06-12,28.395448684692383,28.654462799151382,28.382051990340052,28.62320270996455,147544800
2015-06-15,28.339628219604492,28.41108009883974,28.069450748010365,28.156532672592473,175955600
2015-06-16,28.491458892822266,28.547280717339373,28.216816470184355,28.364185201065137,125976400
2015-06-17,28.424484252929688,28.553989639077844,28.299442161288418,28.518264543999997,131672400
2015-06-18,28.55398178100586,28.649995396454134,28.40661303610098,28.408846386287326,141628800
2015-06-19,28.26818084716797,28.540591712541328,28.223524054356492,28.516029965430786,218867600
2015-06-22,28.493696212768555,28.594174829480085,28.37535420087142,28.46690111999015,136157200
2015-06-23,28.364187240600586,28.493694291643774,28.330693802772586,28.46466755408458,121075600
2015-06-24,28.605344772338867,28.982700968359474,28.384290755618192,28.404385800980332,221123600
2015-06-25,28.469141006469727,28.848728871803647,28.469141006469727,28.772811980155872,127752400
2015-06-26,28.30167007446289,28.578545896423,28.248081590368365,28.5070940164479,176267200
2015-06-29,27.80597496032715,28.23915298841273,27.794811614338297,28.01363227545043,196645600
2015-06-30,28.00693130493164,28.16100011566019,27.879657588452865,28.03819139644943,177482800
2015-07-01,28.26818084716797,28.344099439204413,28.131975414481285,28.33516773993263,120955200
2015-07-02,28.232454299926758,28.288276139840534,28.082850474261843,28.230220949336946,108844000
2015-07-06,28.13420867919922,28.185565523968155,27.87742786244942,27.897524611636374,112241600
2015-07-07,28.064990997314453,28.167702986444347,27.6362779382124,28.10964779135441,187787200
2015-07-08,27.36833381652832,27.830538620225102,27.361635467764923,27.794813525637824,243046400
2015-07-09,26.81011390686035,27.70103001819271,26.620319986898956,27.65413987586442,314380000
2015-07-10,27.526859283447266,27.654132981909285,27.06465462023815,27.227655105975742,245418000
2015-07-13,28.058292388916016,28.080620785729373,27.759086420265138,27.917620252251677,165762000
2015-07-14,28.047128677368164,28.216827567634503,27.919854935555303,28.143142321440855,127072400
2015-07-15,28.317304611206055,28.39098985323979,28.040428745332356,28.071688841307736,134596800
2015-07-16,28.694658279418945,28.708058383385907,28.435645819789098,28.522727756552765,144889600
2015-07-17,28.9425106048584,28.9425106048584,28.650004667038697,28.821936912533218,184658800
2015-07-20,29.489566802978516,29.690524088212058,29.183660766311508,29.24394931471962,235600800
2015-07-21,29.194828033447266,29.67936129061938,29.09881608526313,29.663732944050157,307025600
2015-07-22,27.960039138793945,28.02255931729288,27.238820328716443,27.238820328716443,461802400
2015-07-23,27.94664764404297,28.377590626525247,27.924317544526915,28.178865006373737,203998000
2015-07-24,27.799272537231445,28.076148348962484,27.665300480171084,27.98236807937494,168649200
2015-07-27,27.412986755371094,27.600549012105486,27.26785134311559,27.484438638044374,177822000
2015-07-28,27.549192428588867,27.667536154204573,27.36386522413786,27.549192428588867,134472400
2015-07-29,27.46211051940918,27.57598754415561,27.30134335589593,27.49783731287758,148046800
2015-07-30,27.323671340942383,27.36832812577778,27.176300884600714,27.31250629295996,134513200
2015-07-31,27.08475685119629,27.383961089285012,26.99767491900346,27.375029390656604,171540000
2015-08-03,26.446151733398438,27.368327786851697,26.240726096477005,27.129410413492046,279904000
2015-08-04,25.597660064697266,26.28091876777398,25.287290803917507,26.21839858625679,496554400
2015-08-05,25.76736831665039,26.22287485271321,25.03051915758305,25.220313121722274,397250400
2015-08-06,25.823436737060547,26.130725715606143,25.59689691360648,26.011848009757106,211612000
2015-08-07,25.910905838012695,26.07464414127272,25.68212261656539,25.7000668683968,154681600
2015-08-10,26.852968215942383,26.913527948658288,26.137456745056706,26.137456745056706,219806400
2015-08-11,25.455583572387695,26.507541906594625,25.419696776558233,26.42455101739805,388331200
2015-08-12,25.848112106323242,25.888485832057395,24.589799650743977,25.240264471457007,404870000
2015-08-13,25.827919006347656,26.108291549379526,25.691097068447444,26.027544120085693,194143200
2015-08-14,26.009605407714844,26.088109394236614,25.572224831908866,25.641756689791208,171718000
2015-08-17,26.278762817382812,26.38866839301048,25.906427198152485,26.027548361832526,163538800
2015-08-18,26.130725860595703,26.341566599691646,26.020820282480347,26.11502506372208,138242800
2015-08-19,25.7965145111084,26.135203272814078,25.722495757388085,26.040998519674407,193146000
2015-08-20,25.267175674438477,25.648481674930427,25.038390705136656,25.587921954384836,274006400
2015-08-21,23.721757888793945,25.09894752586456,23.697084970926394,24.769229179141824,513102000
2015-08-24,23.12961769104004,24.40363080241053,20.635422526171478,21.279158605812704,648825200
2015-08-25,23.2686824798584,24.921759955444056,23.214851419487346,24.921759955444056,414406400
2015-08-26,24.603252410888672,24.648111334122248,23.562509648293958,24.020076141302784,387098400
2015-08-27,25.32773208618164,25.39950738435373,24.677267483914413,25.172967615557567,338464400
2015-08-28,25.410724639892578,25.415209847647688,25.018203077879622,25.159510224151333,212657600
2015-08-31,25.291845321655273,25.688852065786055,25.12137834657979,25.128107013407043,224917200
2015-09-01,24.161380767822266,25.094459555420123,24.080633351142133,24.7064249747842,307383600
2015-09-02,25.19764518737793,25.19764518737793,24.47764856445594,24.724377818540738,247555200
2015-09-03,24.755773544311523,25.296330892720444,24.681754785631632,25.231284260358553,212935600
2015-09-04,24.509042739868164,24.773714459471865,24.3385774847904,24.441754363787364,199985200
2015-09-08,25.190908432006836,25.246982933341556,24.7445558805347,25.065302096619618,219374400
2015-09-09,24.706430435180664,25.57446278945002,24.6211960813706,25.51614652882644,340043200
2015-09-10,25.249229431152344,25.408480828757018,24.65035409552812,24.733343272285687,251571200
